method,task,num_simulations,seed,model_id,metric,value,time_train,time_eval,cfg
score_transformer,two_moons_all_cond,100000,0,0,none,,977.5672931671144,,"{'name': 'example_guidance', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'model': {'token_dim': 40, 'condition_token_dim': 10, 'condition_token_init_scale': 0.1, 'condition_token_init_mean': 0.0, 'condition_mode': 'concat', 'time_embedding_dim': 128, 'num_heads': 4, 'num_layers': 6, 'attn_size': 10, 'widening_factor': 3, 'num_hidden_layers': 1, 'skip_connection_attn': True, 'skip_connection_mlp': True, 'layer_norm': True}, 'train': {'condition_mask_fn': {'name': 'structured_random', 'p_joint': 0.2, 'p_posterior': 0.2, 'p_likelihood': 0.2, 'p_rnd1': 0.2, 'p_rnd2': 0.2, 'rnd1_prob': 0.3, 'rnd2_prob': 0.7}, 'edge_mask_fn': {'name': 'none'}, 'max_number_steps': 100000, 'min_number_steps': 5000, 'total_number_steps_scaling': 3, 'training_batch_size': 1000, 'learning_rate': 0.001, 'min_learning_rate': 1e-06, 'clip_max_norm': 10.0, 'validation_fraction': 0.05, 'val_repeat': 5, 'val_every': 50, 'stop_early_count': 5, 'z_score_data': False}, 'sde': {'name': 'vesde', 'sigma_max': 15.0, 'sigma_min': 0.0001, 'T_max': 1.0, 'T_min': 1e-05}, 'posterior': {'sampling_method': 'sde', 'num_steps': 500, 'method': 'euler_maruyama'}, 'name': 'score_transformer', 'backend': 'jax', 'device': 'gpu'}, 'task': {'name': 'two_moons_all_cond', 'num_simulations': 100000}, 'eval': {'metric': {'none': None}}, 'sweeper': {'name': None, 'objective': None}}"
score_transformer_joint,two_moons_all_cond,100000,0,1,none,,1047.1436779499054,,"{'name': 'example_guidance', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'model': {'token_dim': 40, 'condition_token_dim': 10, 'condition_token_init_scale': 0.1, 'condition_token_init_mean': 0.0, 'condition_mode': 'concat', 'time_embedding_dim': 128, 'num_heads': 4, 'num_layers': 6, 'attn_size': 10, 'widening_factor': 3, 'num_hidden_layers': 1, 'skip_connection_attn': True, 'skip_connection_mlp': True, 'layer_norm': True}, 'train': {'condition_mask_fn': {'name': 'joint'}, 'edge_mask_fn': {'name': 'none'}, 'max_number_steps': 100000, 'min_number_steps': 5000, 'total_number_steps_scaling': 3, 'training_batch_size': 1000, 'learning_rate': 0.001, 'min_learning_rate': 1e-06, 'clip_max_norm': 10.0, 'validation_fraction': 0.05, 'val_repeat': 5, 'val_every': 50, 'stop_early_count': 5, 'z_score_data': False}, 'sde': {'name': 'vesde', 'sigma_max': 15.0, 'sigma_min': 0.0001, 'T_max': 1.0, 'T_min': 1e-05}, 'posterior': {'sampling_method': 'sde', 'num_steps': 500, 'method': 'euler_maruyama'}, 'name': 'score_transformer_joint', 'backend': 'jax', 'device': 'gpu'}, 'task': {'name': 'two_moons_all_cond', 'num_simulations': 100000}, 'eval': {'metric': {'none': None}}, 'sweeper': {'name': None, 'objective': None}}"
score_transformer_undirected,slcp_all_cond,100000,0,2,none,None,2717.260816335678,None,"{'name': 'example_guidance', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'model': {'token_dim': 40, 'condition_token_dim': 10, 'condition_token_init_scale': 0.1, 'condition_token_init_mean': 0.0, 'condition_mode': 'concat', 'time_embedding_dim': 128, 'num_heads': 4, 'num_layers': 6, 'attn_size': 10, 'widening_factor': 3, 'num_hidden_layers': 1, 'skip_connection_attn': True, 'skip_connection_mlp': True, 'layer_norm': True}, 'train': {'condition_mask_fn': {'name': 'structured_random', 'p_joint': 0.2, 'p_posterior': 0.2, 'p_likelihood': 0.2, 'p_rnd1': 0.2, 'p_rnd2': 0.2, 'rnd1_prob': 0.3, 'rnd2_prob': 0.7}, 'edge_mask_fn': {'name': 'undirected'}, 'max_number_steps': 100000, 'min_number_steps': 5000, 'total_number_steps_scaling': 3, 'training_batch_size': 1000, 'learning_rate': 0.001, 'min_learning_rate': 1e-06, 'clip_max_norm': 10.0, 'validation_fraction': 0.05, 'val_repeat': 5, 'val_every': 50, 'stop_early_count': 5, 'rebalance_loss': False, 'z_score_data': False}, 'sde': {'name': 'vesde', 'sigma_max': 15.0, 'sigma_min': 0.0001, 'T_max': 1.0, 'T_min': 1e-05}, 'posterior': {'sampling_method': 'sde', 'num_steps': 500, 'method': 'euler_maruyama'}, 'name': 'score_transformer_undirected', 'backend': 'jax', 'device': 'gpu'}, 'task': {'name': 'slcp_all_cond', 'num_simulations': 100000}, 'eval': {'metric': {'none': None}}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
